Date,Tweet_ID,Tweet_ID_precision,Raw Text,Likes,Retweets
Mon Aug 12 23:27:40 +0000 2024,1823139320653316279,exact,«Ανίκανοι και αδύναμοι να αντιδράσουν»: Αντιδράσεις από την αντιπολίτευση για τη φωτιά στην Αττική https://t.co/46zDmC8BSY,0,0
Mon Aug 12 23:27:37 +0000 2024,1823139305151242683,exact,@user Α εντάξει ευχαριστούμε τότε! Νιώθουμε τυχεροί και πάνω απ όλα ασφαλείς αφού καίγεται και η Σαχάρα! Παρτα 🖐🖐🖐 γλοιώδες κομματοσκυλο!,0,0
Mon Aug 12 23:26:44 +0000 2024,1823139084371460365,exact,"Κιμ πάτα το κουμπί ....... ΟΧΙ ΟΤΙ ΔΕΝ ΜΠΟΡΟΥΝ, ΔΕΝ ΘΕΛΟΥΝ, υπάρχει διαφορά. ΤΙ ΟΧΙ? #φωτιά #φωτια_πεντελη #Κικιλιας #Βαρνάβας #Πεντελη #Μητσοτακης #Μαραθωνας  #Ματι #Πυρκαγιες  #Πυροσβεστες  #Πατημα_Χαλανδριου #ΝΔ_ΣΥΜΜΟΡΙΑ  #Διόνυσος",1,0
Mon Aug 12 23:25:03 +0000 2024,1823138659153190930,exact,"@user @user Ντροπή ρε μλκ, ντροπή να το κάνεις ακόμη αυτό. Καίγεται η χώρα ανεξέλεγκτα κάθε χρόνο, δεν έχει μείνει τίποτα και πάλι η ίδια καραμέλα. Βάλε λίγο το μυαλό σου να δουλέψει, δεν είναι ομαδικά η κυβέρνηση αυτού του τόπου. Κάπου κρίμα δλδ.",3,1
Mon Aug 12 23:24:59 +0000 2024,1823138644510532048,exact,Πέρα από την πλάκα καλή δύναμη εκεί πάνω. Παλεύετε μόνοι σας ενάντια στο ξευτιλισμενο σύστημα. Μακάρι να δράσει γρήγορα η πυροσβεστική,0,0
Mon Aug 12 23:24:07 +0000 2024,1823138425144528923,exact,"Από ότι βλέπω 88.000 ποστ για την φωτιά. Μονο απο το πληκτρολόγιο είστε μάγκες, να βγητε να κάνουμε καμιά πορεία ή να σηκωθείτε απο την άνεση σας να ψηφίσετε μια φορά σωστά δεν μπορείτε. Αντε καληνύχτα #φωτια",17,3
Mon Aug 12 23:23:58 +0000 2024,1823138385655148742,exact,#φωτια #πυρκαγιά  #ζωασεαναγκη  Βοηθήστε όσοι μπορείτε.,3,4
Mon Aug 12 23:22:42 +0000 2024,1823138069265952778,exact,Φωτιά ΤΩΡΑ σε πλοίο ελλιμενισμένο στο παλιό λιμάνι των Σπετσών https://t.co/HJ6q9FnlQS,0,0
Mon Aug 12 23:22:10 +0000 2024,1823137934284927335,exact,@user οχτώ το βράδυ φωτιά σύντροφε σε δεκάδες εστίες μαζί το λες και τρομοκρατική επίθεση. συνηθισμένη η αριστερά στη ΒΙΑ μιας και η αριστερή βία είναι έντιμη για τον αγώνα,2,0
Mon Aug 12 23:21:49 +0000 2024,1823137846573621591,exact,"Άρα, σύμφωνα με την λογική των άεργων ξεπλένηδων κομματόσκυλων, την φωτιά στο Μάτι την έβαλαν οι δεξιοί και έκαψαν 104 ανθρώπους για να ρίξουν τον Σύριζα.   #φωτια",339,50
Mon Aug 12 23:21:21 +0000 2024,1823137728982053009,exact,@user Αν ήταν δεξιός στο Χαλάνδρι... η φωτιά παίζει να είχε φτάσει ήδη στο ολυμπιακό στάδιο,0,0
Mon Aug 12 23:21:14 +0000 2024,1823137701362622935,exact,Φωτιά σε πλοίο ελλιμενισμένο στο παλιό λιμάνι των Σπετσών - Δείτε βίντεο https://t.co/qWN1PfDgZG https://t.co/PsfqBRMsbe,2,1
Mon Aug 12 23:20:50 +0000 2024,1823137598497321344,exact,"Καληνυχτα Ελλάδα.  Κλείσε τα φωτα σου, θα σε φωτίζει η φωτιά κι αν τη σβήσουν μη φοβάσαι ολο και κάποιος θα βρεθεί να σε φωτίσει πάλι. #φωτια #φωτια_πεντελη #φωτιατωρα",6,0
Mon Aug 12 23:20:07 +0000 2024,1823137418171609321,exact,@user Θα έριχνε π ρωσικός γίγαντας μέσα στον αστικό ιστό 2 ρίψεις και θα έσβηνε η φωτιά στις αυλές των σπιτιών,0,0
Mon Aug 12 23:20:05 +0000 2024,1823137411611726207,exact,Μάλλον φταίει το φαινόμενο των Κικιλήδων  #φωτιά,2,2
Mon Aug 12 23:20:05 +0000 2024,1823137410114613720,exact,@user @user Και πέρυσι δεν είχε μείνει δέντρο και πρόπερσι και πριν 2 και 3 χρόνια πάλι δέντρο δεν είχε μείνει. Τι στο καλό καίγεται κάθε χρόνο ρε σαΐνι??,1,0
Mon Aug 12 23:18:57 +0000 2024,1823137126092857790,exact,"Το βαφτιστηρι του Κωνσταντίνου Μητσοτάκη, ο Συνολακης θα είχε σβήσει τη φωτιά 🔥🔥🔥 σε 20-25 λεπτά.... Η μήπως όχι; https://t.co/NIRYB7ZOke",143,31
