Tweet_ID,toponym,gold_toponym,orig_geocoded_as,orig_success,now_n_candidates,now_top_name,now_success,shift_km,orig_within_10km,now_within_10km,orig_choice_rank_today
1955417026849280256,ανθουπολη,Ανθούπολη,Ανθούπολη,True,10,Ανθούπολη,True,171.816,True,False,1.0
1955417026849280256,πατρα,Πάτρα,FAILED_TO_GEOCODE,False,1,Πάτρα,True,,False,True,
1955417026849280256,συχαινα πατρα,Συχαινά,FAILED_TO_GEOCODE,False,0,,False,,False,False,
1955417276334981632,βολισου χιος,Βολισσός ,FAILED_TO_GEOCODE,False,1,Κυμινάς Κοινότητας Βολισού,True,,False,True,
1955417276334981632,λιμνια,Λημνιά,Λιμνιά,True,5,Λιμνιά,True,317.632,True,False,4.0
1960810013292663296,σαλαμινα,Σαλαμίνα,Σαλαμίνα,True,2,Σαλαμίνα,True,0.0,True,True,0.0
1960831576553771520,σαλαμινα,Σαλαμίνα,Σαλαμίνα,True,2,Σαλαμίνα,True,0.0,True,True,0.0
1961038273700119040,διαβολογεφυρο τροιζηνιας,Διαβολογέφυρο Τροιζηνίας  ,FAILED_TO_GEOCODE,False,0,,False,,False,False,
1961041489825239040,πρεβεζα,Πρέβεζα,Πρέβεζα,True,1,Πρέβεζα,True,0.0,True,True,0.0
1961043679117766656,πρεβεζα,Πρέβεζα,Πρέβεζα,True,1,Πρέβεζα,True,0.0,True,True,0.0
1961043679117766656,αηδονι,Αηδόνι,Αηδόνι,True,2,Αηδόνι,True,368.163,True,False,1.0
1961043679117766656,κλεισουρα,Κλεισούρα,Κλεισούρα,True,6,Κλεισούρα,True,291.587,False,False,4.0
1961046383017820416,αηδονι πρεβεζας,Αηδόνι,Αηδόνι,True,1,Αηδόνι,True,0.0,True,True,0.0
1961066140664316160,βορεια ευβοια,Εύβοια,Εύβοια,True,0,,False,,True,False,
1961100987726430464,παρατηρητης κομοτηνης,Παρατηρητής Κομοτηνής,Παρατηρητής,True,1,Παρατηρητής,True,0.0,False,False,0.0
1961105315232878848,σαλαμινα,Σαλαμίνα,Σαλαμίνα,True,2,Σαλαμίνα,True,0.0,True,True,0.0
1961109281261895680,κομοτηνη,Κομοτηνή,Κομοτηνή,True,1,Κομοτηνή,True,0.0,True,True,0.0
1961109287477928448,κομοτηνη,Κομοτηνή,Κομοτηνή,True,1,Κομοτηνή,True,0.0,True,True,0.0
1961110667567784448,κομοτηνης,Κομοτηνή,Κομοτηνή,True,0,,False,,True,False,
1963566297297432576,χορτιατης,Χορτιάτης,Χορτιάτης,True,6,Χορτιάτης,True,0.0,True,True,0.0
1963570136180281600,βρισα,Βρίσα,Βρίσα,True,1,Βρίσα,True,0.0,True,True,0.0
