Date;Tweet_ID;Raw Text;Likes;Retweets;is_fire;is_wildland;is_urban
Mon Aug 12 22:34:40 +0000 2024;1,82E+18;;0;1;;;
Mon Aug 12 22:34:40 +0000 2024;1,82E+18;;4;3;;;
Mon Aug 12 22:34:40 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:34:05 +0000 2024;1,82E+18;;5;0;;;
Mon Aug 12 22:33:54 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 22:33:51 +0000 2024;1,82E+18;;34;7;;;
Mon Aug 12 22:33:12 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:32:57 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 22:32:34 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 22:32:24 +0000 2024;1,82E+18;;11;0;;;
Mon Aug 12 22:32:24 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:32:02 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:32:00 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 22:31:34 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:31:27 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:30:54 +0000 2024;1,82E+18;;9;2;;;
Mon Aug 12 22:30:53 +0000 2024;1,82E+18;;7;0;;;
Mon Aug 12 22:30:25 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:30:14 +0000 2024;1,82E+18;;93;20;;;
Mon Aug 12 22:30:11 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 22:30:00 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 22:30:00 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:29:54 +0000 2024;1,82E+18;;98;21;;;
Mon Aug 12 22:29:51 +0000 2024;1,82E+18;;5;1;;;
Mon Aug 12 22:29:50 +0000 2024;1,82E+18;;4;2;;;
Mon Aug 12 22:29:26 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:29:22 +0000 2024;1,82E+18;;5;13;;;
Mon Aug 12 22:29:13 +0000 2024;1,82E+18;;11;1;;;
Mon Aug 12 22:29:01 +0000 2024;1,82E+18;;7;1;;;
Mon Aug 12 22:28:48 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:28:40 +0000 2024;1,82E+18;;4;0;;;
Mon Aug 12 22:28:30 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:28:28 +0000 2024;1,82E+18;;28;0;;;
Mon Aug 12 22:28:20 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:27:54 +0000 2024;1,82E+18;;5;1;;;
Mon Aug 12 22:27:47 +0000 2024;1,82E+18;;10;1;;;
Mon Aug 12 22:27:44 +0000 2024;1,82E+18;;43;13;;;
Mon Aug 12 22:27:26 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:27:23 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:26:42 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:26:29 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:26:28 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:26:07 +0000 2024;1,82E+18;;11;4;;;
Mon Aug 12 22:26:02 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:26:00 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 22:25:23 +0000 2024;1,82E+18;;4;2;;;
Mon Aug 12 22:25:07 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 22:25:02 +0000 2024;1,82E+18;;57;7;;;
Mon Aug 12 22:24:44 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:24:41 +0000 2024;1,82E+18;;8;2;;;
Mon Aug 12 22:24:28 +0000 2024;1,82E+18;;24;0;;;
Mon Aug 12 22:24:25 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 22:24:25 +0000 2024;1,82E+18;;1;1;;;
Mon Aug 12 22:24:23 +0000 2024;1,82E+18;;16;4;;;
Mon Aug 12 22:24:18 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:24:15 +0000 2024;1,82E+18;;4;1;;;
Mon Aug 12 22:23:52 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:23:42 +0000 2024;1,82E+18;;8;0;;;
Mon Aug 12 22:23:37 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:23:31 +0000 2024;1,82E+18;;5;3;;;
Mon Aug 12 22:23:25 +0000 2024;1,82E+18;;1;17;;;
Mon Aug 12 22:23:13 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 22:23:07 +0000 2024;1,82E+18;;8;0;;;
Mon Aug 12 22:23:01 +0000 2024;1,82E+18;;6;0;;;
Mon Aug 12 22:22:47 +0000 2024;1,82E+18;;3;4;;;
Mon Aug 12 22:22:47 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 22:22:35 +0000 2024;1,82E+18;;9;4;;;
Mon Aug 12 22:22:34 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:22:33 +0000 2024;1,82E+18;;20;8;;;
Mon Aug 12 22:22:30 +0000 2024;1,82E+18;;12;0;;;
Mon Aug 12 22:22:19 +0000 2024;1,82E+18;;26;2;;;
Mon Aug 12 22:22:12 +0000 2024;1,82E+18;;18;2;;;
Mon Aug 12 22:21:53 +0000 2024;1,82E+18;;9;1;;;
Mon Aug 12 22:21:46 +0000 2024;1,82E+18;;4;0;;;
Mon Aug 12 22:21:41 +0000 2024;1,82E+18;;4;0;;;
Mon Aug 12 22:21:39 +0000 2024;1,82E+18;;13;6;;;
Mon Aug 12 22:21:31 +0000 2024;1,82E+18;;8;6;;;
Mon Aug 12 22:21:26 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 22:21:13 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:20:57 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 22:20:57 +0000 2024;1,82E+18;;2;1;;;
Mon Aug 12 22:20:37 +0000 2024;1,82E+18;;34;13;;;
Mon Aug 12 22:20:37 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 22:20:32 +0000 2024;1,82E+18;;10;2;;;
Mon Aug 12 22:20:23 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:20:22 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:20:19 +0000 2024;1,82E+18;;12;3;;;
Mon Aug 12 22:20:06 +0000 2024;1,82E+18;;2;1;;;
Mon Aug 12 22:19:32 +0000 2024;1,82E+18;;7;0;;;
Mon Aug 12 22:19:27 +0000 2024;1,82E+18;;67;21;;;
Mon Aug 12 22:19:21 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 22:19:15 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:19:08 +0000 2024;1,82E+18;;16;2;;;
Mon Aug 12 22:19:02 +0000 2024;1,82E+18;;4;0;;;
Mon Aug 12 22:18:57 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:18:51 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:18:50 +0000 2024;1,82E+18;;1;1;;;
Mon Aug 12 22:18:23 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:18:17 +0000 2024;1,82E+18;;109;13;;;
Mon Aug 12 22:18:07 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:17:59 +0000 2024;1,82E+18;;19;0;;;
Mon Aug 12 22:17:52 +0000 2024;1,82E+18;;13;1;;;
Mon Aug 12 22:17:42 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:17:34 +0000 2024;1,82E+18;;741;215;;;
Mon Aug 12 22:17:30 +0000 2024;1,82E+18;;1;1;;;
Mon Aug 12 22:17:29 +0000 2024;1,82E+18;;19;4;;;
Mon Aug 12 22:17:21 +0000 2024;1,82E+18;;4;0;;;
Mon Aug 12 22:17:12 +0000 2024;1,82E+18;;11;0;;;
Mon Aug 12 22:17:05 +0000 2024;1,82E+18;;5;1;;;
Mon Aug 12 22:17:02 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:16:57 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 22:16:47 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:16:38 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:16:36 +0000 2024;1,82E+18;;11;0;;;
Mon Aug 12 22:16:31 +0000 2024;1,82E+18;;16;2;;;
Mon Aug 12 22:16:29 +0000 2024;1,82E+18;;6;1;;;
Mon Aug 12 22:16:27 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:16:24 +0000 2024;1,82E+18;;9;1;;;
Mon Aug 12 22:16:24 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 22:16:15 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 22:16:05 +0000 2024;1,82E+18;;4;0;;;
Mon Aug 12 22:15:56 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:15:56 +0000 2024;1,82E+18;;4;1;;;
Mon Aug 12 22:15:52 +0000 2024;1,82E+18;;9;12;;;
Mon Aug 12 22:15:47 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:15:18 +0000 2024;1,82E+18;;28;4;;;
Mon Aug 12 22:15:07 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 22:14:55 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:14:46 +0000 2024;1,82E+18;;36;4;;;
Mon Aug 12 22:14:34 +0000 2024;1,82E+18;;60;207;;;
Mon Aug 12 22:14:27 +0000 2024;1,82E+18;;13;2;;;
Mon Aug 12 22:14:26 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:14:26 +0000 2024;1,82E+18;;1;0;;;
